    1024	   8	       128	    23.490
    4096	   8	       512	    93.351
   16384	   8	      2048	   365.499
   65536	   8	      8192	  1173.517
  262144	   8	     32768	   884.744
 1048576	   8	    131072	  2364.501
 4194304	   8	    524288	  3704.886
16777216	   8	   2097152	  4335.406
    1024	  16	        64	    23.782
    4096	  16	       256	    92.647
   16384	  16	      1024	   371.889
   65536	  16	      4096	  1333.550
  262144	  16	     16384	  1005.889
 1048576	  16	     65536	  3103.867
 4194304	  16	    262144	  5123.940
16777216	  16	   1048576	  7857.834
    1024	  32	        32	    23.211
    4096	  32	       128	    92.057
   16384	  32	       512	   348.436
   65536	  32	      2048	  1397.342
  262144	  32	      8192	   984.392
 1048576	  32	     32768	  3646.946
 4194304	  32	    131072	  8459.704
16777216	  32	    524288	 13265.946
    1024	  64	        16	    23.126
    4096	  64	        64	    91.954
   16384	  64	       256	   374.541
   65536	  64	      1024	  1464.399
  262144	  64	      4096	  1037.757
 1048576	  64	     16384	  4168.163
 4194304	  64	     65536	 11308.133
16777216	  64	    262144	 19790.845
    1024	 128	         8	    23.918
    4096	 128	        32	    92.289
   16384	 128	       128	   384.100
   65536	 128	       512	  1457.785
  262144	 128	      2048	  1074.988
 1048576	 128	      8192	  4325.659
 4194304	 128	     32768	 12442.773
16777216	 128	    131072	 24162.530
    1024	 256	         4	    23.811
    4096	 256	        16	    95.120
   16384	 256	        64	   368.338
   65536	 256	       256	  1484.949
  262144	 256	      1024	  1085.192
 1048576	 256	      4096	  4282.845
 4194304	 256	     16384	 12416.325
16777216	 256	     65536	 25127.207
    1024	 512	         2	    19.632
    4096	 512	         8	    92.458
   16384	 512	        32	   377.434
   65536	 512	       128	  1415.443
  262144	 512	       512	  1113.293
 1048576	 512	      2048	  4341.539
 4194304	 512	      8192	 12808.472
16777216	 512	     32768	 25708.559
